"C24010_001E","C24010_001M","C24010_002E","C24010_002M","C24010_003E","C24010_003M","C24010_004E","C24010_004M","C24010_005E","C24010_005M","C24010_006E","C24010_006M","C24010_007E","C24010_007M","C24010_008E","C24010_008M","C24010_009E","C24010_009M","C24010_010E","C24010_010M","C24010_011E","C24010_011M","C24010_012E","C24010_012M","C24010_013E","C24010_013M","C24010_014E","C24010_014M","C24010_015E","C24010_015M","C24010_016E","C24010_016M","C24010_017E","C24010_017M","C24010_018E","C24010_018M","C24010_019E","C24010_019M","C24010_020E","C24010_020M","C24010_021E","C24010_021M","C24010_022E","C24010_022M","C24010_023E","C24010_023M","C24010_024E","C24010_024M","C24010_025E","C24010_025M","C24010_026E","C24010_026M","C24010_027E","C24010_027M","C24010_028E","C24010_028M","C24010_029E","C24010_029M","C24010_030E","C24010_030M","C24010_031E","C24010_031M","C24010_032E","C24010_032M","C24010_033E","C24010_033M","C24010_034E","C24010_034M","C24010_035E","C24010_035M","C24010_036E","C24010_036M","C24010_037E","C24010_037M","C24010_038E","C24010_038M","C24010_039E","C24010_039M","C24010_040E","C24010_040M","C24010_041E","C24010_041M","C24010_042E","C24010_042M","C24010_043E","C24010_043M","C24010_044E","C24010_044M","C24010_045E","C24010_045M","C24010_046E","C24010_046M","C24010_047E","C24010_047M","C24010_048E","C24010_048M","C24010_049E","C24010_049M","C24010_050E","C24010_050M","C24010_051E","C24010_051M","C24010_052E","C24010_052M","C24010_053E","C24010_053M","C24010_054E","C24010_054M","C24010_055E","C24010_055M","C24010_056E","C24010_056M","C24010_057E","C24010_057M","C24010_058E","C24010_058M","C24010_059E","C24010_059M","C24010_060E","C24010_060M","C24010_061E","C24010_061M","C24010_062E","C24010_062M","C24010_063E","C24010_063M","C24010_064E","C24010_064M","C24010_065E","C24010_065M","C24010_066E","C24010_066M","C24010_067E","C24010_067M","C24010_068E","C24010_068M","C24010_069E","C24010_069M","C24010_070E","C24010_070M","C24010_071E","C24010_071M","C24010_072E","C24010_072M","C24010_073E","C24010_073M","GEO_ID","NAME"
"454","143","220","68","120","49","59","48","59","48","0","12","10","16","0","12","10","16","0","12","0","12","0","12","0","12","0","12","0","12","51","32","51","32","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","61","34","48","27","13","20","0","12","0","12","0","12","0","12","39","50","31","47","8","13","0","12","234","109","140","62","32","26","17","19","15","17","51","48","39","46","0","12","12","19","26","26","7","11","0","12","9","16","10","16","31","31","31","31","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","94","102","67","65","27","42","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530605001","Block Group 1, Census Tract 605, Pierce County, Washington"
"490","174","250","92","121","62","84","56","60","58","24","25","8","14","0","12","8","14","0","12","17","16","0","12","0","12","0","12","17","16","12","18","12","18","0","12","10","16","0","12","0","12","0","12","0","12","0","12","10","16","0","12","54","47","47","46","7","10","35","43","0","12","35","43","0","12","30","33","0","12","10","15","20","29","240","93","185","87","87","67","17","21","70","65","0","12","0","12","0","12","0","12","32","25","0","12","8","13","9","13","15","17","66","65","66","65","0","12","25","23","18","21","0","12","0","12","0","12","0","12","0","12","7","10","30","25","15","18","15","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530605002","Block Group 2, Census Tract 605, Pierce County, Washington"
"480","147","148","54","67","35","22","35","22","35","0","12","20","24","6","9","14","22","0","12","15","22","8","14","0","12","7","15","0","12","10","15","10","15","0","12","6","10","0","12","0","12","0","12","0","12","6","10","0","12","0","12","23","27","23","27","0","12","9","15","0","12","9","15","0","12","43","34","21","23","12","19","10","17","332","131","155","60","59","57","59","57","0","12","14","22","0","12","14","22","0","12","65","37","16","17","9","13","30","24","10","16","17","20","8","12","9","16","53","45","6","11","32","39","32","39","0","12","0","12","0","12","15","17","124","70","19","28","105","65","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530605003","Block Group 3, Census Tract 605, Pierce County, Washington"
"328","114","152","55","72","40","29","29","20","24","9","15","0","12","0","12","0","12","0","12","43","31","0","12","13","19","16","18","14","15","0","12","0","12","0","12","26","20","0","12","6","10","6","10","0","12","20","18","0","12","0","12","34","36","34","36","0","12","10","17","0","12","10","17","0","12","10","16","0","12","10","16","0","12","176","93","102","56","57","45","44","42","13","21","6","9","0","12","0","12","6","9","33","23","8","14","8","12","7","10","10","13","6","10","6","10","0","12","26","29","0","12","8","13","8","13","0","12","9","14","0","12","9","14","48","33","39","24","9","13","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530605004","Block Group 4, Census Tract 605, Pierce County, Washington"
"574","137","256","63","190","70","47","32","19","20","28","25","20","20","9","14","11","15","0","12","58","40","10","16","9","14","26","28","13","19","65","65","65","65","0","12","6","10","0","12","0","12","0","12","0","12","0","12","6","10","0","12","10","16","10","16","0","12","40","34","0","12","22","24","18","26","10","14","10","14","0","12","0","12","318","97","193","85","117","83","77","49","40","44","0","12","0","12","0","12","0","12","64","39","8","12","10","15","46","35","0","12","12","19","0","12","12","19","65","52","6","10","0","12","0","12","0","12","21","22","0","12","38","52","60","37","24","26","36","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530605005","Block Group 5, Census Tract 605, Pierce County, Washington"
"561","171","238","96","218","97","63","51","53","48","10","16","52","52","43","49","0","12","9","14","77","68","0","12","34","54","43","40","0","12","26","30","13","21","13","22","4","5","0","12","0","12","0","12","0","12","1","4","2","4","1","3","0","12","0","12","0","12","16","22","0","12","16","22","0","12","0","12","0","12","0","12","0","12","323","128","225","109","111","92","111","92","0","12","0","12","0","12","0","12","0","12","59","51","0","12","14","23","45","46","0","12","55","61","55","61","0","12","27","38","24","37","0","12","0","12","0","12","0","12","0","12","3","7","71","77","0","12","71","77","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530606001","Block Group 1, Census Tract 606, Pierce County, Washington"
"705","221","345","145","108","95","95","92","45","42","50","80","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","22","13","22","0","12","13","21","13","21","0","12","0","12","0","12","0","12","0","12","0","12","64","63","12","20","52","59","148","114","0","12","134","105","14","24","12","20","0","12","0","12","12","20","360","166","131","60","85","53","20","32","65","43","0","12","0","12","0","12","0","12","17","29","0","12","0","12","17","29","0","12","29","32","29","32","0","12","100","104","0","12","0","12","0","12","0","12","61","91","39","58","0","12","67","56","15","24","52","50","0","12","0","12","0","12","0","12","62","75","0","12","15","24","47","71","1500000US530530606002","Block Group 2, Census Tract 606, Pierce County, Washington"
"506","166","224","100","162","83","80","71","80","71","0","12","0","12","0","12","0","12","0","12","82","57","33","36","16","26","33","38","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","21","33","0","12","21","33","0","12","0","12","0","12","0","12","41","47","0","12","0","12","41","47","282","102","98","79","68","73","14","22","54","70","0","12","0","12","0","12","0","12","15","24","0","12","0","12","15","24","0","12","15","24","15","24","0","12","85","79","30","35","0","12","0","12","0","12","15","24","0","12","40","63","84","59","14","23","70","55","15","25","0","12","15","25","0","12","0","12","0","12","0","12","0","12","1500000US530530606003","Block Group 3, Census Tract 606, Pierce County, Washington"
"474","160","228","98","180","90","53","62","53","62","0","12","60","47","19","29","26","33","15","23","67","69","17","27","0","12","50","63","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","28","0","12","18","28","14","24","0","12","14","24","0","12","16","27","16","27","0","12","0","12","246","103","118","62","17","27","17","27","0","12","17","27","0","12","0","12","17","27","66","43","0","12","14","23","52","38","0","12","18","26","18","26","0","12","46","41","0","12","0","12","0","12","0","12","13","20","0","12","33","36","40","38","14","21","26","31","0","12","0","12","0","12","0","12","42","67","0","12","42","67","0","12","1500000US530530606004","Block Group 4, Census Tract 606, Pierce County, Washington"
"392","129","190","91","59","51","0","12","0","12","0","12","34","40","11","19","23","36","0","12","11","20","11","20","0","12","0","12","0","12","14","21","14","21","0","12","14","22","0","12","0","12","0","12","0","12","0","12","14","22","0","12","38","57","0","12","38","57","62","78","0","12","49","73","13","23","17","27","0","12","17","27","0","12","202","71","139","67","14","24","14","24","0","12","20","33","0","12","20","33","0","12","79","60","0","12","0","12","42","40","37","55","26","30","26","30","0","12","43","39","0","12","13","20","13","20","0","12","30","34","0","12","0","12","20","32","0","12","20","32","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530606005","Block Group 5, Census Tract 606, Pierce County, Washington"
"210","79","116","78","24","28","10","18","10","18","0","12","0","12","0","12","0","12","0","12","14","22","0","12","0","12","14","22","0","12","0","12","0","12","0","12","63","81","0","12","0","12","0","12","0","12","63","81","0","12","0","12","29","32","0","12","29","32","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","94","48","84","49","42","36","42","36","0","12","14","23","0","12","0","12","14","23","15","23","0","12","0","12","15","23","0","12","13","22","13","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","16","10","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530606006","Block Group 6, Census Tract 606, Pierce County, Washington"
"656","224","370","149","148","85","120","86","101","84","19","31","0","12","0","12","0","12","0","12","13","21","0","12","13","21","0","12","0","12","15","24","15","24","0","12","59","77","22","37","0","12","0","12","0","12","0","12","15","24","22","36","53","60","53","60","0","12","28","34","0","12","15","26","13","21","82","65","22","35","60","50","0","12","286","125","134","89","88","78","69","70","19","31","0","12","0","12","0","12","0","12","33","38","0","12","18","29","0","12","15","26","13","22","13","22","0","12","33","37","0","12","0","12","0","12","0","12","0","12","17","25","16","25","119","79","48","56","71","64","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530607001","Block Group 1, Census Tract 607, Pierce County, Washington"
"500","153","227","103","112","68","59","49","30","38","29","33","22","34","0","12","22","34","0","12","31","37","0","12","0","12","31","37","0","12","0","12","0","12","0","12","14","22","0","12","14","22","14","22","0","12","0","12","0","12","0","12","63","51","24","30","39","43","22","33","0","12","22","33","0","12","16","24","0","12","16","24","0","12","273","95","99","60","12","19","0","12","12","19","0","12","0","12","0","12","0","12","72","55","13","20","0","12","59","53","0","12","15","25","15","25","0","12","71","69","14","22","0","12","0","12","0","12","17","27","0","12","40","60","78","56","49","44","29","33","0","12","0","12","0","12","0","12","25","45","25","45","0","12","0","12","1500000US530530607002","Block Group 2, Census Tract 607, Pierce County, Washington"
"772","319","179","96","105","65","16","25","16","25","0","12","33","35","33","35","0","12","0","12","40","45","20","30","0","12","20","34","0","12","16","26","16","26","0","12","57","65","0","12","20","30","20","30","0","12","37","60","0","12","0","12","0","12","0","12","0","12","17","29","0","12","0","12","17","29","0","12","0","12","0","12","0","12","593","318","282","153","123","105","83","84","40","65","0","12","0","12","0","12","0","12","84","59","0","12","0","12","68","58","16","27","75","118","75","118","0","12","116","108","0","12","0","12","0","12","0","12","15","25","0","12","101","108","160","116","116","109","44","40","0","12","0","12","0","12","0","12","35","49","35","49","0","12","0","12","1500000US530530607003","Block Group 3, Census Tract 607, Pierce County, Washington"
"632","232","318","129","151","87","69","67","52","61","17","26","35","40","0","12","35","40","0","12","47","44","15","22","32","37","0","12","0","12","0","12","0","12","0","12","40","44","0","12","0","12","0","12","0","12","0","12","21","31","19","30","15","26","15","26","0","12","72","72","46","66","26","39","0","12","40","63","40","63","0","12","0","12","314","170","88","92","31","24","31","24","0","12","57","89","0","12","57","89","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","121","91","0","12","13","21","13","21","0","12","68","80","0","12","40","63","105","70","30","35","75","65","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530607004","Block Group 4, Census Tract 607, Pierce County, Washington"
"565","199","110","64","39","30","0","12","0","12","0","12","13","19","13","19","0","12","0","12","22","22","0","12","0","12","22","22","0","12","4","9","0","12","4","9","9","18","0","12","5","9","5","9","0","12","4","9","0","12","0","12","57","43","23","27","34","34","0","12","0","12","0","12","0","12","5","9","5","9","0","12","0","12","455","188","73","37","15","23","0","12","15","23","5","9","5","9","0","12","0","12","53","36","5","10","0","12","44","36","4","8","0","12","0","12","0","12","182","131","0","12","35","40","35","40","0","12","92","77","15","26","40","38","182","108","12","18","170","106","0","12","0","12","0","12","0","12","18","24","18","24","0","12","0","12","1500000US530530607005","Block Group 5, Census Tract 607, Pierce County, Washington"
"307","128","153","80","110","70","84","60","41","43","43","40","10","12","10","12","0","12","0","12","16","27","0","12","0","12","16","27","0","12","0","12","0","12","0","12","14","20","0","12","14","20","14","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","29","44","0","12","0","12","29","44","154","84","49","37","6","13","0","12","6","13","12","19","0","12","0","12","12","19","31","32","6","12","0","12","21","28","4","9","0","12","0","12","0","12","60","54","0","12","0","12","0","12","0","12","4","8","0","12","56","53","45","42","6","12","39","41","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530607006","Block Group 6, Census Tract 607, Pierce County, Washington"
"462","160","216","122","90","90","0","12","0","12","0","12","74","83","20","31","54","78","0","12","16","26","0","12","0","12","1","13","15","24","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","39","39","39","39","0","12","16","25","0","12","15","24","1","12","71","68","16","25","55","64","0","12","246","81","178","88","51","62","0","12","51","62","14","22","0","12","14","22","0","12","82","57","30","36","5","10","47","44","0","12","31","37","20","32","11","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","68","63","11","17","57","60","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530608001","Block Group 1, Census Tract 608, Pierce County, Washington"
"383","130","245","101","131","69","54","58","54","58","0","12","42","42","15","24","14","23","13","22","35","39","0","12","0","12","0","12","35","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","34","38","20","31","14","23","50","63","0","12","35","59","15","24","30","49","0","12","30","49","0","12","138","65","73","66","15","24","15","24","0","12","33","52","33","52","0","12","0","12","25","31","25","31","0","12","0","12","0","12","0","12","0","12","0","12","15","23","15","23","0","12","0","12","0","12","0","12","0","12","0","12","50","42","14","22","36","36","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530608002","Block Group 2, Census Tract 608, Pierce County, Washington"
"459","207","326","191","49","59","0","12","0","12","0","12","34","54","0","12","34","54","0","12","15","25","0","12","0","12","15","25","0","12","0","12","0","12","0","12","125","107","0","12","64","76","0","12","64","76","56","68","0","12","5","6","72","65","59","72","13","21","39","49","0","12","39","49","0","12","41","39","17","27","13","21","11","19","133","63","117","56","75","58","62","55","13","20","0","12","0","12","0","12","0","12","28","32","0","12","11","18","17","27","0","12","14","23","14","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","27","0","12","16","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530608003","Block Group 3, Census Tract 608, Pierce County, Washington"
"248","124","52","44","27","31","0","12","0","12","0","12","17","26","0","12","17","26","0","12","10","17","10","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","25","31","0","12","25","31","0","12","0","12","0","12","0","12","0","12","196","124","90","73","0","12","0","12","0","12","0","12","0","12","0","12","0","12","54","65","0","12","13","20","41","62","0","12","36","36","20","23","16","28","28","35","0","12","0","12","0","12","0","12","0","12","0","12","28","35","49","54","0","12","49","54","0","12","0","12","0","12","0","12","29","45","0","12","0","12","29","45","1500000US530530608004","Block Group 4, Census Tract 608, Pierce County, Washington"
"447","147","269","93","73","61","46","55","36","52","10","17","14","23","14","23","0","12","0","12","13","21","0","12","0","12","13","21","0","12","0","12","0","12","0","12","29","24","0","12","0","12","0","12","0","12","0","12","29","24","0","12","15","24","15","24","0","12","79","61","0","12","16","26","63","57","73","54","45","41","28","32","0","12","178","77","104","69","42","49","42","49","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","62","51","48","46","14","23","34","37","17","26","0","12","0","12","0","12","17","26","0","12","0","12","40","38","11","17","29","33","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530608005","Block Group 5, Census Tract 608, Pierce County, Washington"
"498","174","245","114","96","89","18","25","8","15","10","20","7","14","7","14","0","12","0","12","71","79","0","12","13","21","58","76","0","12","0","12","0","12","0","12","29","36","0","12","0","12","0","12","0","12","17","31","12","22","0","12","56","46","38","44","18","31","64","68","0","12","52","68","12","21","0","12","0","12","0","12","0","12","253","82","169","92","26","22","26","22","0","12","0","12","0","12","0","12","0","12","129","89","13","21","0","12","116","93","0","12","14","22","14","22","0","12","27","31","14","22","0","12","0","12","0","12","0","12","0","12","13","21","24","27","11","17","13","19","0","12","0","12","0","12","0","12","33","31","0","12","19","23","14","22","1500000US530530608006","Block Group 6, Census Tract 608, Pierce County, Washington"
